Lot #,Vehicle ID,Tow Reference ,Year,Make,Model,VIN,Reason,K,Comments
1,2599942,9263,2016,OTHER-NOT IN LIST,OTHER,L6ZDCJLA1G1000030,ARREST, ,
2,2599929,9262,2014,OTHER-NOT IN LIST,OTHER,L5NAAJT16E1001477,ACCIDENT, ,
3,2581512,8357,1978,YAMAHA,OTHER,1J7302262,ACCIDENT, ,
6,2581619,8364,2001,CHEVROLET,IMPALA,2G1WH55K619337105,ACCIDENT, ,
7,2584918,8512,1994,OLDSMOBILE,98,1G3CX52LXR4302625,ACCIDENT, ,
8,2598413,9183,2005,SATURN,ION,1G8AL52F95Z106311,ACCIDENT, ,
9,2603324,9428,2009,FORD,FOCUS,1FAHP35N19W173112,ABANDONED, ,
10,2581762,8369,2005,DODGE,DURANGO,1D4HB38N15F571597,ACCIDENT, ,
11,2598445,9182,1995,CHEVROLET,C-2500,1GCFC24K6SZ279557,ACCIDENT, ,
12,2584715,8497,2003,CHEVROLET,S-10 PICK-UP,1GCCS14X638281554,ACCIDENT, ,
13,2581556,8361,2002,FORD,ESCORT,3FAFP11372R112470,ARREST, ,
14,2581630,8365,1993,FORD,F150,1FTEX15N8PKB46785,ILLEGALLY PARKED, ,
15,2581554,8360,2005,DODGE,DURANGO,1D4HB48N95F603055,ACCIDENT, ,
16,2566613,7623,2003,NISSAN,ALTIMA,1N4BL11D53C289604,ARREST,K,
17,2588719,8689,2004,NISSAN,SENTRA,3N1CB51D44L880511,ILLEGALLY PARKED, ,
18,2582559,8405,2000,FORD,ECONOLINE,1FDRE14LXYHA81049,ARREST, ,
19,2581522,8358,1994,PLYMOUTH,GRAND VOYA,1P4GH44R5RX355043,ACCIDENT, ,
20,2584911,8510,2000,CHEVROLET,SILVERADO,2GCEC19V5Y1199550,ACCIDENT,K,
21,2590437,8794,2006,BUICK,LUCERNE,1G4HD57256U149271,ILLEGALLY PARKED,K,STARTS 
22,2579500,8246,2002,BUICK,PARK AVENUE,1G4CW54K424193314,STOLEN, ,
23,2520150,5535,2013,DODGE,DART,1C3CDFBH9DD219369,ARREST,,
24,2588944,8702,2000,CHEVROLET,CAVALIER,4G1JF32T0YB902036,ACCIDENT,K,
25,2591281,8823,2000,HONDA,CIVIC,JHMEJ6676YS006121,STOLEN,,
26,2594477,8993,2009,CHEVROLET,HHR,3GNCA23B89S515327,ABANDONED, ,
27,2591298,8822,2009,CHEVROLET,IMPALA,2G1WU57M491265373,ABANDONED, ,
28,2580228,8297,2002,HYUNDAI,ELANTRA,KMHDN45D92U401057,ARREST,,
29,2581038,8328,1999,FORD,EXPLORER,1FMZU34E1XZB54558,ACCIDENT, ,
30,2603726,9455,1999,GMC,SIERRA,2GTEC19T1X1530413,ARREST, ,
31,2590455,8797,2003,FORD,TAURUS,1FAFP55223G167183,STOLEN,K,
32,2590630,8801,2003,PONTIAC,SUNFIRE,1G2JB12F837350269,ACCIDENT,K,
33,2591366,8827,2003,SATURN,VUE,5GZCZ53B53S883789,ARREST,K,
34,2591410,8829,1997,FORD,F150,1FTDF1720VKB66625,ARREST,K,
35,2581821,8370,2002,TOYOTA,SEQUOIA,5TDBT48A22S091647,ACCIDENT, ,
36,2602640,9393,2005,HONDA,ACCORD,1HGCM82795A000012,ARREST,K,
37,2610106,9764,2014,CHEVROLET,CRUZE,1G1PC5SB0E7333632,ABANDONED,K,
38,2603307,9426,2009,FORD,FUSION,3FAHP08159R147915,ACCIDENT, ,
39,2604454,9489,2005,CHEVROLET,COBALT,1G1AK12F657651016,ABANDONED, ,
40,2614646,10020,2002,CHEVROLET,ASTRO VAN,1GCDM19X02B134090,ARREST, ,
41,2581921,8375,2016,FORD,FUSION,3FA6P0G76GR282234,ACCIDENT, ,
42,2582048,8380,2016,MITSUBISHI,OTHER,JA4AP3AU6GZ064708,ACCIDENT,K,
43,2582034,8382,2003,ACURA,TL,19UUA56643A020226,ABANDONED, ,
44,2595971,9070,2002,FORD,FOCUS,1FAFP34392W358165,ILLEGALLY PARKED, ,
45,2598453,9184,2004,CHRYSLER,SEBRING,1C3EL56R64N385626,ACCIDENT, ,
46,2582866,8414,2006,CHRYSLER,PACIFICA,2A4GM68456R867240,ACCIDENT, ,
47,2583065,8418,2004,FORD,RANGER,1FTYR10U14PB37592,ILLEGALLY PARKED, ,
48,2594588,8999,2011,CHEVROLET,MALIBU,1G1ZB5E16BF206447,ARREST,K,PREMIUM STARTS
49,2592785,8903,1988,VOLKSWAGEN,CABRIOLET,WVWCA0158JK002850,OTHER, ,
50,2594532,8996,1999,HONDA,ACCORD,1HGCG5651XA044295,ACCIDENT, ,
51,2582183,8395,1997,PLYMOUTH,BREEZE,1P3EJ46C4VN645417,ILLEGALLY PARKED, ,
52,2585075,8518,2000,HONDA,ACCORD,1HGCG3256YA016908,ACCIDENT,,
53,2582981,8416,2012,FORD,EXPLORER,1FMHK7D87CGA82449,ACCIDENT, ,
54,2585063,8519,2004,CHRYSLER,SEBRING,4C3AG42G34E078835,ACCIDENT, ,
55,2588904,8703,2002,HYUNDAI,SONATA,KMHWF25S82A563093,ACCIDENT, ,
56,2588393,8676,2000,INFINITI,I30,JNKCA31A7YT115142,ABANDONED, ,
57,2421261,1256,2011,CHEVROLET,HHR,3GNBABFW6BS651472,ARREST,,
